order_id,ts,symbol,pnl,strategy
PAPER-34,2025-01-30 07:00:00+00:00,EURUSD,138.89915122000238,default
PAPER-35,2025-01-30 08:00:00+00:00,EURUSD,0.0,default
PAPER-36,2025-01-30 14:00:00+00:00,EURUSD,-50.72094305999908,default
PAPER-37,2025-01-30 14:00:00+00:00,EURUSD,0.0,default
PAPER-38,2025-02-06 14:00:00+00:00,EURUSD,62.17927578000114,default
PAPER-39,2025-02-06 15:00:00+00:00,EURUSD,0.0,default
PAPER-40,2025-02-07 16:00:00+00:00,EURUSD,-50.72063945999908,default
PAPER-41,2025-02-07 16:00:00+00:00,EURUSD,0.0,default
PAPER-42,2025-02-09 22:00:00+00:00,EURUSD,-36.48058040000038,default
PAPER-43,2025-02-09 23:00:00+00:00,EURUSD,0.0,default
PAPER-44,2025-02-11 19:00:00+00:00,EURUSD,-50.72072177999908,default
PAPER-45,2025-02-11 19:00:00+00:00,EURUSD,0.0,default
PAPER-46,2025-02-12 17:00:00+00:00,EURUSD,-50.72081471999907,default
PAPER-47,2025-02-12 17:00:00+00:00,EURUSD,0.0,default
PAPER-48,2025-02-12 22:00:00+00:00,EURUSD,44.28923102000074,default
PAPER-49,2025-02-12 23:00:00+00:00,EURUSD,0.0,default
PAPER-50,2025-02-28 01:00:00+00:00,EURUSD,-11.860764639998518,default
PAPER-51,2025-02-28 02:00:00+00:00,EURUSD,0.0,default
PAPER-52,2025-03-03 09:00:00+00:00,EURUSD,-50.72086317999908,default
PAPER-53,2025-03-03 09:00:00+00:00,EURUSD,0.0,default
PAPER-54,2025-03-03 14:00:00+00:00,EURUSD,-50.72095901999908,default
PAPER-55,2025-03-03 14:00:00+00:00,EURUSD,0.0,default
PAPER-56,2025-03-04 11:00:00+00:00,EURUSD,-50.72106557999908,default
PAPER-57,2025-03-04 11:00:00+00:00,EURUSD,0.0,default
PAPER-58,2025-03-04 19:00:00+00:00,EURUSD,-50.72119499999908,default
PAPER-59,2025-03-04 19:00:00+00:00,EURUSD,0.0,default
PAPER-60,2025-03-20 23:00:00+00:00,EURUSD,248.99829614000203,default
PAPER-61,2025-03-21 00:00:00+00:00,EURUSD,0.0,default
PAPER-62,2025-04-01 05:00:00+00:00,EURUSD,45.79838750000086,default
PAPER-63,2025-04-01 06:00:00+00:00,EURUSD,0.0,default
PAPER-64,2025-04-24 08:00:00+00:00,EURUSD,570.4772391399982,default
PAPER-65,2025-04-24 09:00:00+00:00,EURUSD,0.0,default
PAPER-66,2025-05-19 22:00:00+00:00,EURUSD,148.55752906000038,default
PAPER-67,2025-05-19 23:00:00+00:00,EURUSD,0.0,default
PAPER-68,2025-05-29 07:00:00+00:00,EURUSD,41.747450479998754,default
PAPER-69,2025-05-29 08:00:00+00:00,EURUSD,0.0,default
PAPER-70,2025-05-29 12:00:00+00:00,EURUSD,-50.72264433999908,default
PAPER-71,2025-05-29 12:00:00+00:00,EURUSD,0.0,default
PAPER-72,2025-06-02 02:00:00+00:00,EURUSD,-8.152729019997306,default
PAPER-73,2025-06-02 03:00:00+00:00,EURUSD,0.0,default
PAPER-74,2025-06-19 09:00:00+00:00,EURUSD,111.78705005999883,default
PAPER-75,2025-06-19 11:00:00+00:00,EURUSD,0.0,default
PAPER-76,2025-06-20 03:00:00+00:00,EURUSD,-50.72306361999908,default
PAPER-77,2025-06-20 03:00:00+00:00,EURUSD,0.0,default
PAPER-78,2025-06-23 20:00:00+00:00,EURUSD,-50.72316141999908,default
PAPER-79,2025-06-23 20:00:00+00:00,EURUSD,0.0,default
