order_id,ts,symbol,pnl,strategy,adapter_latency_ms
PAPER-488,2025-05-01 05:00:00+00:00,USDJPY,-28.916426177053825,default,25.0
PAPER-489,2025-05-01 05:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-490,2025-05-01 06:00:00+00:00,USDJPY,-26.728671230624204,default,25.0
PAPER-491,2025-05-01 06:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-492,2025-05-01 14:00:00+00:00,USDJPY,-29.739017733145257,default,25.0
PAPER-493,2025-05-01 14:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-494,2025-05-02 13:00:00+00:00,USDJPY,85.30351315786257,default,25.0
PAPER-495,2025-05-05 02:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-496,2025-05-05 12:00:00+00:00,USDJPY,-39.233969911503685,default,25.0
PAPER-497,2025-05-05 12:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-498,2025-05-06 07:00:00+00:00,USDJPY,-30.037284190139783,default,25.0
PAPER-499,2025-05-06 07:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-500,2025-05-06 08:00:00+00:00,USDJPY,-25.839628313261155,default,25.0
PAPER-501,2025-05-06 08:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-502,2025-05-06 11:00:00+00:00,USDJPY,-27.45570023582881,default,25.0
PAPER-503,2025-05-06 11:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-504,2025-05-07 08:00:00+00:00,USDJPY,36.54332642537471,default,25.0
PAPER-505,2025-05-07 19:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-506,2025-05-08 06:00:00+00:00,USDJPY,-32.68952980927617,default,25.0
PAPER-507,2025-05-08 06:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-508,2025-05-08 09:00:00+00:00,USDJPY,-34.82524883460845,default,25.0
PAPER-509,2025-05-08 09:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-510,2025-05-08 15:00:00+00:00,USDJPY,-29.864609329736197,default,25.0
PAPER-511,2025-05-08 15:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-512,2025-05-08 19:00:00+00:00,USDJPY,-37.409825251610854,default,25.0
PAPER-513,2025-05-08 19:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-514,2025-05-12 07:00:00+00:00,USDJPY,-40.07126288611381,default,25.0
PAPER-515,2025-05-12 07:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-516,2025-05-12 10:00:00+00:00,USDJPY,-43.27665486997909,default,25.0
PAPER-517,2025-05-12 10:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-518,2025-05-13 17:00:00+00:00,USDJPY,52.615144289390784,default,25.0
PAPER-519,2025-05-14 03:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-520,2025-05-14 08:00:00+00:00,USDJPY,-23.392764936765275,default,25.0
PAPER-521,2025-05-14 08:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-522,2025-05-14 09:00:00+00:00,USDJPY,-28.651880026253018,default,25.0
PAPER-523,2025-05-14 09:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-524,2025-05-14 16:00:00+00:00,USDJPY,63.63181619784131,default,25.0
PAPER-525,2025-05-14 16:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-526,2025-05-15 03:00:00+00:00,USDJPY,-43.56411809651961,default,25.0
PAPER-527,2025-05-15 03:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-528,2025-05-15 06:00:00+00:00,USDJPY,-31.058431453323468,default,25.0
PAPER-529,2025-05-15 06:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-530,2025-05-16 00:00:00+00:00,USDJPY,-28.17046522088806,default,25.0
PAPER-531,2025-05-16 00:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-532,2025-05-16 14:00:00+00:00,USDJPY,61.497837922464285,default,25.0
PAPER-533,2025-05-18 22:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-534,2025-05-19 07:00:00+00:00,USDJPY,-28.361555213238052,default,25.0
PAPER-535,2025-05-19 07:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-536,2025-05-20 00:00:00+00:00,USDJPY,27.99756777222353,default,25.0
PAPER-537,2025-05-20 03:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-538,2025-05-20 05:00:00+00:00,USDJPY,-28.788380898112095,default,25.0
PAPER-539,2025-05-20 05:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-540,2025-05-21 02:00:00+00:00,USDJPY,-28.651005329803215,default,25.0
PAPER-541,2025-05-21 02:00:00+00:00,USDJPY,0.0,default,25.0
PAPER-542,2025-05-21 06:00:00+00:00,USDJPY,-24.875317564757488,default,25.0
