time,open,high,low,close,volume
2025-02-16 23:00:00+00:00,96.693,96.844,96.592,96.622,3493
2025-02-17 00:00:00+00:00,96.623,96.698,96.49,96.544,8230
2025-02-17 01:00:00+00:00,96.543,96.746,96.444,96.734,14360
2025-02-17 02:00:00+00:00,96.736,96.745,96.382,96.444,11607
2025-02-17 03:00:00+00:00,96.442,96.541,96.432,96.514,12280
2025-02-17 04:00:00+00:00,96.512,96.632,96.486,96.582,11863
2025-02-17 05:00:00+00:00,96.582,96.654,96.468,96.487,11094
2025-02-17 06:00:00+00:00,96.485,96.71,96.476,96.622,9100
2025-02-17 07:00:00+00:00,96.62,96.652,96.524,96.625,6057
2025-02-17 08:00:00+00:00,96.628,96.664,96.498,96.516,7850
2025-02-17 09:00:00+00:00,96.515,96.66,96.492,96.652,7178
2025-02-17 10:00:00+00:00,96.652,96.668,96.474,96.509,7124
2025-02-17 11:00:00+00:00,96.51,96.558,96.424,96.45,6830
2025-02-17 12:00:00+00:00,96.454,96.466,96.339,96.402,7146
2025-02-17 13:00:00+00:00,96.406,96.446,96.378,96.422,7663
2025-02-17 14:00:00+00:00,96.422,96.454,96.383,96.44,9247
2025-02-17 15:00:00+00:00,96.44,96.475,96.321,96.347,10192
2025-02-17 16:00:00+00:00,96.348,96.434,96.326,96.386,7013
2025-02-17 17:00:00+00:00,96.387,96.407,96.348,96.355,4523
2025-02-17 18:00:00+00:00,96.354,96.374,96.276,96.277,2715
2025-02-17 19:00:00+00:00,96.271,96.28,96.205,96.278,6194
2025-02-17 20:00:00+00:00,96.28,96.32,96.266,96.312,2417
2025-02-17 21:00:00+00:00,96.309,96.342,96.29,96.314,4511
2025-02-17 22:00:00+00:00,96.304,96.35,96.238,96.252,482
2025-02-17 23:00:00+00:00,96.258,96.307,96.066,96.248,1946
2025-02-18 00:00:00+00:00,96.248,96.367,96.206,96.29,8404
2025-02-18 01:00:00+00:00,96.289,96.308,96.126,96.208,13534
2025-02-18 02:00:00+00:00,96.208,96.429,96.192,96.359,12072
2025-02-18 03:00:00+00:00,96.362,96.722,96.209,96.576,11791
2025-02-18 04:00:00+00:00,96.578,96.791,96.402,96.666,10368
2025-02-18 05:00:00+00:00,96.666,96.706,96.582,96.622,11190
2025-02-18 06:00:00+00:00,96.624,96.702,96.472,96.591,11188
2025-02-18 07:00:00+00:00,96.59,96.666,96.523,96.628,9406
2025-02-18 08:00:00+00:00,96.63,96.694,96.556,96.57,10529
2025-02-18 09:00:00+00:00,96.57,96.614,96.529,96.582,8205
2025-02-18 10:00:00+00:00,96.582,96.586,96.435,96.454,8150
2025-02-18 11:00:00+00:00,96.454,96.509,96.446,96.496,8913
2025-02-18 12:00:00+00:00,96.498,96.574,96.275,96.29,10651
2025-02-18 13:00:00+00:00,96.29,96.316,96.194,96.226,10180
2025-02-18 14:00:00+00:00,96.224,96.398,96.19,96.37,11958
2025-02-18 15:00:00+00:00,96.372,96.398,96.256,96.332,11028
2025-02-18 16:00:00+00:00,96.332,96.451,96.324,96.414,9711
2025-02-18 17:00:00+00:00,96.414,96.439,96.366,96.42,8367
2025-02-18 18:00:00+00:00,96.42,96.469,96.386,96.469,7385
2025-02-18 19:00:00+00:00,96.468,96.49,96.422,96.459,6546
2025-02-18 20:00:00+00:00,96.461,96.575,96.452,96.564,5252
2025-02-18 21:00:00+00:00,96.566,96.642,96.546,96.598,6873
2025-02-18 22:00:00+00:00,96.552,96.647,96.548,96.63,1867
2025-02-18 23:00:00+00:00,96.632,96.646,96.501,96.505,2668
2025-02-19 00:00:00+00:00,96.504,96.588,96.406,96.524,7214
2025-02-19 01:00:00+00:00,96.522,96.634,96.272,96.621,10495
2025-02-19 02:00:00+00:00,96.619,96.768,96.52,96.731,9809
2025-02-19 03:00:00+00:00,96.733,96.748,96.616,96.644,6237
2025-02-19 04:00:00+00:00,96.643,96.652,96.537,96.576,4948
2025-02-19 05:00:00+00:00,96.576,96.655,96.549,96.628,4772
2025-02-19 06:00:00+00:00,96.626,96.639,96.504,96.532,6250
2025-02-19 07:00:00+00:00,96.532,96.591,96.478,96.505,6037
2025-02-19 08:00:00+00:00,96.506,96.605,96.468,96.495,7356
2025-02-19 09:00:00+00:00,96.493,96.547,96.388,96.413,6475
2025-02-19 10:00:00+00:00,96.414,96.504,96.37,96.394,7235
2025-02-19 11:00:00+00:00,96.392,96.468,96.352,96.392,6963
2025-02-19 12:00:00+00:00,96.392,96.512,96.334,96.482,6543
2025-02-19 13:00:00+00:00,96.482,96.499,96.334,96.334,9942
2025-02-19 14:00:00+00:00,96.334,96.342,96.057,96.076,11804
2025-02-19 15:00:00+00:00,96.078,96.402,96.001,96.141,14129
2025-02-19 16:00:00+00:00,96.146,96.258,96.102,96.153,8990
2025-02-19 17:00:00+00:00,96.154,96.246,96.112,96.21,5272
2025-02-19 18:00:00+00:00,96.21,96.255,96.186,96.202,4828
2025-02-19 19:00:00+00:00,96.203,96.231,96.124,96.195,5957
2025-02-19 20:00:00+00:00,96.195,96.214,96.134,96.164,6030
2025-02-19 21:00:00+00:00,96.162,96.196,96.106,96.106,3176
2025-02-19 22:00:00+00:00,96.078,96.151,96.047,96.059,531
2025-02-19 23:00:00+00:00,96.064,96.07,95.8,95.889,4106
2025-02-20 00:00:00+00:00,95.888,95.972,95.734,95.906,10068
2025-02-20 01:00:00+00:00,95.908,95.922,95.36,95.408,14016
2025-02-20 02:00:00+00:00,95.408,95.778,95.327,95.746,14505
2025-02-20 03:00:00+00:00,95.748,95.756,95.598,95.661,12403
2025-02-20 04:00:00+00:00,95.661,95.69,95.536,95.596,10148
2025-02-20 05:00:00+00:00,95.596,95.718,95.569,95.7,11401
2025-02-20 06:00:00+00:00,95.701,95.706,95.463,95.497,9469
2025-02-20 07:00:00+00:00,95.498,95.604,95.426,95.586,8317
2025-02-20 08:00:00+00:00,95.588,95.882,95.579,95.83,9439
2025-02-20 09:00:00+00:00,95.829,95.92,95.76,95.836,9153
2025-02-20 10:00:00+00:00,95.836,95.836,95.718,95.728,8292
2025-02-20 11:00:00+00:00,95.727,95.768,95.642,95.702,8962
2025-02-20 12:00:00+00:00,95.701,95.709,95.567,95.626,10901
2025-02-20 13:00:00+00:00,95.624,95.737,95.538,95.69,12853
2025-02-20 14:00:00+00:00,95.686,95.812,95.622,95.628,13677
2025-02-20 15:00:00+00:00,95.627,95.761,95.453,95.611,16672
2025-02-20 16:00:00+00:00,95.61,95.73,95.566,95.654,13366
2025-02-20 17:00:00+00:00,95.654,95.735,95.6,95.614,11406
2025-02-20 18:00:00+00:00,95.612,95.816,95.604,95.808,10234
2025-02-20 19:00:00+00:00,95.808,95.922,95.8,95.902,10167
2025-02-20 20:00:00+00:00,95.904,95.918,95.8,95.834,9455
2025-02-20 21:00:00+00:00,95.83,95.836,95.772,95.773,7706
2025-02-20 22:00:00+00:00,95.769,95.812,95.655,95.708,581
2025-02-20 23:00:00+00:00,95.711,95.838,95.648,95.708,5699
2025-02-21 00:00:00+00:00,95.704,95.936,95.69,95.869,9827
2025-02-21 01:00:00+00:00,95.866,96.187,95.846,96.103,13183
2025-02-21 02:00:00+00:00,96.105,96.497,96.064,96.377,11616
2025-02-21 03:00:00+00:00,96.376,96.405,96.154,96.223,8688
2025-02-21 04:00:00+00:00,96.221,96.227,96.092,96.156,6706
2025-02-21 05:00:00+00:00,96.158,96.21,96.058,96.066,8036
2025-02-21 06:00:00+00:00,96.064,96.194,96.049,96.113,7772
2025-02-21 07:00:00+00:00,96.116,96.26,96.096,96.202,8299
2025-02-21 08:00:00+00:00,96.205,96.268,96.019,96.042,11741
2025-02-21 09:00:00+00:00,96.049,96.097,95.957,96.096,8743
2025-02-21 10:00:00+00:00,96.096,96.138,96.025,96.032,5720
2025-02-21 11:00:00+00:00,96.031,96.07,95.976,95.99,6120
2025-02-21 12:00:00+00:00,95.989,96.092,95.984,96.06,7897
