sharpe,ann_return,ann_vol,max_drawdown,trades,return_pct,win_rate,rr,expectancy,median_hold,fast,slow,atr_sl,atr_tp,rsi_long_thresh,rsi_short_thresh,cooldown,trailing_enable_atr_mult,trailing_atr_mult
-3.1203964636494543,-0.015965454447941507,0.005116482675816501,-0.01690533892008104,560,-0.016415892022332845,0.5357142857142857,0.5409293184719683,-5.840502720119215,0 days 05:00:00,30,180,2.0,,60,35,0,1.0,0.5
-3.145600402048765,-0.016046414350117222,0.005101224662759456,-0.017068966880928186,800,-0.01649897001890499,0.49,0.7113200117793759,-4.102464771726337,0 days 04:00:00,20,180,1.5,,60,40,0,1.0,0.5
-3.1513680297687223,-0.018233123949635277,0.005785780580814422,-0.019191697258293294,680,-0.018748714096142538,0.538235294117647,0.557440565229751,-5.492040701806866,0 days 05:00:00,30,120,2.0,3.0,60,40,0,1.0,0.5
-3.170183234444252,-0.010149539589125456,0.0032015624456182947,-0.011301534892181452,372,-0.010433537374571755,0.6236559139784946,0.31275688756914827,-5.587124403533231,0 days 04:00:00,30,120,2.0,3.0,55,35,12,0.5,0.5
-3.170183234444252,-0.010149539589125456,0.0032015624456182947,-0.011301534892181452,372,-0.010433537374571755,0.6236559139784946,0.31275688756914827,-5.587124403533231,0 days 04:00:00,30,120,2.0,,55,35,12,0.5,0.5
-3.18470362043099,-0.0186126193275713,0.005844380371273742,-0.019416312788475058,790,-0.01913882468938144,0.5417721518987342,0.5706658157802373,-4.822964439337082,0 days 05:00:00,20,180,2.0,3.0,55,40,0,1.0,0.5
-3.19403719657856,-0.00967154061273312,0.003027998741872273,-0.0105799945526085,388,-0.009941927579954046,0.6288659793814433,0.3099310711729503,-5.102368716470522,0 days 04:00:00,20,120,2.0,3.0,55,35,12,0.5,0.5
-3.19403719657856,-0.00967154061273312,0.003027998741872273,-0.0105799945526085,388,-0.009941927579954046,0.6288659793814433,0.3099310711729503,-5.102368716470522,0 days 04:00:00,20,120,2.0,,55,35,12,0.5,0.5
-3.237120964974756,-0.017837506539004178,0.005510299655775539,-0.018489627842975597,630,-0.01834081468076143,0.5301587301587302,0.5614553719901592,-5.800159819924557,0 days 05:00:00,30,180,2.0,3.0,60,40,0,1.0,0.5
-3.2378981290156474,-0.017713795689722533,0.005470769920456917,-0.01882584510168644,644,-0.018213534242476292,0.531055900621118,0.5672780655917645,-5.634043169713317,0 days 05:00:00,30,180,2.0,3.0,55,35,0,1.0,0.5
-3.258455137889703,-0.008563251522511472,0.002628009642648434,-0.009415340555417382,358,-0.008802176995095334,0.5363128491620112,0.4458177221231044,-4.895067879941727,0 days 04:00:00,30,180,1.5,,55,35,12,0.5,0.5
-3.258455137889703,-0.008563251522511472,0.002628009642648434,-0.009415340555417382,358,-0.008802176995095334,0.5363128491620112,0.4458177221231044,-4.895067879941727,0 days 04:00:00,30,180,1.5,3.0,55,35,12,0.5,0.5
-3.2694822479333254,-0.013599358639986625,0.0041594838597404605,-0.014461866970304504,348,-0.01398099804104791,0.5057471264367817,0.5347817609374939,-8.012790271866582,0 days 06:00:00,30,120,2.0,3.0,60,40,12,1.0,0.5
-3.2694822479333254,-0.013599358639986625,0.0041594838597404605,-0.014461866970304504,348,-0.01398099804104791,0.5057471264367817,0.5347817609374939,-8.012790271866582,0 days 06:00:00,30,120,2.0,,60,40,12,1.0,0.5
-3.277304467134649,-0.00765994500363143,0.002337269875425559,-0.008256562458617212,332,-0.007873404535524875,0.5662650602409639,0.37529659008675625,-4.720720375616966,0 days 03:00:00,20,180,1.5,3.0,60,35,12,0.5,0.5
-3.277304467134649,-0.00765994500363143,0.002337269875425559,-0.008256562458617212,332,-0.007873404535524875,0.5662650602409639,0.37529659008675625,-4.720720375616966,0 days 03:00:00,20,180,1.5,,60,35,12,0.5,0.5
-3.287969283047122,-0.017787672064063176,0.005409926472177523,-0.019103179401613712,616,-0.018289078321618413,0.5422077922077922,0.5231322315952884,-5.915734980395953,0 days 06:00:00,30,120,2.0,,60,35,0,1.0,0.5
-3.308817391272327,-0.008986062348063761,0.002715792769877937,-0.009755071462275475,382,-0.009236794202143628,0.5654450261780105,0.3987052278905283,-4.813713836724239,0 days 04:00:00,30,120,1.5,3.0,55,35,12,0.5,0.5
-3.308817391272327,-0.008986062348063761,0.002715792769877937,-0.009755071462275475,382,-0.009236794202143628,0.5654450261780105,0.3987052278905283,-4.813713836724239,0 days 04:00:00,30,120,1.5,,55,35,12,0.5,0.5
-3.3149626388833737,-0.012760720943482462,0.0038494313009153065,-0.014272478547415202,324,-0.013118268314761483,0.5308641975308642,0.469099495460211,-8.07541670787784,0 days 06:00:00,30,120,2.0,3.0,60,35,12,1.0,0.5
-3.3149626388833737,-0.012760720943482462,0.0038494313009153065,-0.014272478547415202,324,-0.013118268314761483,0.5308641975308642,0.469099495460211,-8.07541670787784,0 days 06:00:00,30,120,2.0,,60,35,12,1.0,0.5
-3.3253869305056014,-0.010670665637731003,0.003208849334146088,-0.011858776579530517,336,-0.0109689192106186,0.4642857142857143,0.6358120003240477,-6.50684023727342,0 days 05:00:00,30,120,1.5,,60,35,12,1.0,0.5
-3.3253869305056014,-0.010670665637731003,0.003208849334146088,-0.011858776579530517,336,-0.0109689192106186,0.4642857142857143,0.6358120003240477,-6.50684023727342,0 days 05:00:00,30,120,1.5,3.0,60,35,12,1.0,0.5
-3.3548715840962835,-0.01093012330005605,0.0032579855967871107,-0.01134740709716338,366,-0.011235621307048138,0.43169398907103823,0.742550282269763,-6.1173583459279675,0 days 06:00:00,30,180,1.5,3.0,55,40,12,1.0,0.5
-3.3791007874894996,-0.017153190609077384,0.005076258948115405,-0.01851267300074808,782,-0.01763563841990501,0.4859335038363171,0.6981867535149586,-4.488090665960508,0 days 04:00:00,20,180,1.5,3.0,55,35,0,1.0,0.5
-3.395481869388579,-0.012018586626495242,0.0035395820354238608,-0.012672156695521675,360,-0.01235474804733383,0.6,0.3197927595130253,-6.841488858518699,0 days 05:00:00,30,120,2.0,3.0,60,40,12,0.5,0.5
-3.395481869388579,-0.012018586626495242,0.0035395820354238608,-0.012672156695521675,360,-0.01235474804733383,0.6,0.3197927595130253,-6.841488858518699,0 days 05:00:00,30,120,2.0,,60,40,12,0.5,0.5
-3.40551183603843,-0.01937657847716212,0.005689769823176577,-0.020365414419353484,674,-0.019922551901047414,0.5370919881305638,0.5359557340376568,-5.889448143931193,0 days 05:00:00,30,120,2.0,,60,40,0,1.0,0.5
