sharpe,ann_return,ann_vol,max_drawdown,trades,return_pct,win_rate,rr,expectancy,median_hold,symbol,fast,slow,atr_sl,atr_tp,rsi_long_thresh,rsi_short_thresh,cooldown,trailing_enable_atr_mult,trailing_atr_mult,source_file
1.4654055135951731,0.0020330466024396365,0.001387361098056628,-0.0006959010394570682,302,0.0016793306061981816,0.36423841059602646,2.191282713485203,1.118160618897965,0 days 07:00:00,USDJPY,20,120,1.3,3.0,60,40,12,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
1.4394433621785612,0.0019673174809633487,0.001366721006643751,-0.0009904688884474974,248,0.0016250443075820353,0.3225806451612903,2.6979224866230487,1.315263731158351,0 days 11:30:00,USDJPY,20,120,1.6,4.5,60,40,12,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
1.392639353578675,0.0023034129571826156,0.0016539910000844939,-0.0008833632310712455,312,0.0019023832565912002,0.3076923076923077,2.8258480101622183,1.227269577536381,0 days 05:00:00,USDJPY,20,120,1.0,3.0,60,40,12,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
1.3153307890691384,0.002517095495769839,0.001913659679137589,-0.0012612766447476422,274,0.0020785459485928026,0.23357664233576642,4.22692272347849,1.5249416715554165,0 days 07:00:00,USDJPY,20,120,1.0,4.5,60,40,12,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
1.3060858828288666,0.0020950099596854788,0.0016040369069359147,-0.0010882220635948354,258,0.0017302600416968517,0.27906976744186046,3.287029482252736,1.34727006095884,0 days 09:00:00,USDJPY,20,120,1.3,4.5,60,40,12,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
1.1530658742344848,0.002030593005742931,0.0017610381601927407,-0.0009734162599845688,218,0.0016768163678424486,0.22935779816513763,4.334424504273114,1.546281864107157,0 days 07:00:00,USDJPY,20,120,1.0,4.5,60,40,24,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
1.109881151250765,0.001321448810100767,0.0011906219045269657,-0.0007732467781216225,234,0.00109153763290748,0.3504273504273504,2.2448923820524787,0.9391132116468085,0 days 07:00:00,USDJPY,20,120,1.3,3.0,60,40,24,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
0.7249660264882318,0.0023023172623219956,0.0031757588331063243,-0.0018013454229479178,152,0.0018984353195234949,0.17105263157894737,6.991473957165627,2.5057244800055987,0 days 09:00:00,USDJPY,20,120,1.0,,60,40,24,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
0.6002487689165841,0.0015460213094107278,0.0025756342860997635,-0.0015732640181079904,140,0.0012749546549870594,0.22857142857142856,4.560622862457549,1.8273978486105775,0 days 18:30:00,USDJPY,20,120,1.3,,60,40,24,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
0.5969168754749159,0.0008427068918164249,0.0014117659031602262,-0.001255395915256727,244,0.0006956679763965301,0.2786885245901639,2.8885321998856597,0.5783109580252028,0 days 04:00:00,USDJPY,20,120,1.0,3.0,60,40,24,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
0.5202969758944657,0.0010798819938535598,0.002075510802262663,-0.0014307092442224605,134,0.0008907159581645896,0.2537313432835821,3.725247394203258,1.334307686727028,0 days 22:00:00,USDJPY,20,120,1.6,,60,40,24,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
0.49877586187612144,0.0011357665705471476,0.0022771081308446167,-0.0012938984289773007,122,0.0009365357138819697,0.2459016393442623,3.9985101438427204,1.5411592142382304,0 days 22:00:00,USDJPY,20,120,1.3,,60,40,36,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
0.47266012486084413,0.0011933765207792213,0.0025248089652804184,-0.0016344175875735965,154,0.000983651807329844,0.22077922077922077,4.38757935637281,1.2833002113014598,0 days 17:00:00,USDJPY,20,120,1.3,,60,40,12,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
0.3157192297207101,0.0009707088780446238,0.0030745953577275835,-0.0020002614502721027,182,0.0007983669035822594,0.15384615384615385,6.3396251173386675,0.8848449560885981,0 days 08:00:00,USDJPY,20,120,1.0,,60,40,12,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
0.30201795085789057,0.000645280932786596,0.002136564833161927,-0.0014614037130497553,144,0.0005314426444367193,0.25,3.4424289896470524,0.7428822316572954,0 days 18:30:00,USDJPY,20,120,1.6,,60,40,12,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
0.17701577302819163,0.0005100637800630192,0.002881459495599786,-0.001519425673709227,136,0.000418144598201442,0.17647058823529413,5.184909739237698,0.6226380954506096,0 days 14:00:00,USDJPY,20,120,1.0,,60,40,36,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
0.005614399002521887,1.099476963917212e-05,0.0019583163993569866,-0.0011528661237155638,126,7.5031511115319915e-06,0.23809523809523808,3.2105080055173763,0.016750257678127514,0 days 22:00:00,USDJPY,20,120,1.6,,60,40,36,0.5,0.5,grid_rsi_trailing_diagnostics_USDJPY_grid.csv
