fast,slow,final_equity,ann_return,ann_vol,sharpe,max_drawdown,trades,atr_sl,atr_tp,atr_window
30,150,99777.9983591784,-0.002138471475480297,0.006634415248709793,-0.32233006155232286,-0.005739685231229787,728,1.5,2.0,14
30,150,99797.91122285707,-0.001944625876486361,0.006642281091026324,-0.2927647670788183,-0.0065243319931617355,528,1.5,3.0,14
30,150,100263.95547127142,0.002590603836166494,0.006635251426959014,0.39043039509262234,-0.005137550908393044,186,1.5,,14
30,150,99522.86738408585,-0.004621586935034672,0.00662340517333878,-0.6977660001290521,-0.005828565652654949,570,2.0,2.0,14
30,150,99680.5765935859,-0.003086200689751295,0.006694724559744068,-0.4609899424852928,-0.006443205352771482,424,2.0,3.0,14
30,150,100231.40220614293,0.00227404869187553,0.006667687822065267,0.34105506324847107,-0.004977503237005963,152,2.0,,14
30,200,99654.4788007927,-0.003340684544513972,0.006620849462112949,-0.5045703823400087,-0.006803396135286463,704,1.5,2.0,14
30,200,99858.59221820705,-0.001354378495160402,0.006597258484750015,-0.20529413820773199,-0.007477860322991855,512,1.5,3.0,14
30,200,100230.59536062146,0.002265838994351288,0.006613835494749188,0.3425907699322379,-0.006638652603964702,162,1.5,,14
30,200,99477.24439245721,-0.00506605106338287,0.0065587628677893075,-0.7724095481882287,-0.007055593443545484,542,2.0,2.0,14
30,200,99878.00560148578,-0.0011653184574645925,0.0066172712745657305,-0.1761025669211466,-0.006573105517590459,416,2.0,3.0,14
30,200,100283.62000554295,0.0027816033946708174,0.006582124016750518,0.42259966351166495,-0.005955498552926488,128,2.0,,14
50,100,99359.70429733548,-0.006209140279879954,0.006700251385415469,-0.9267025851291905,-0.007453099036124293,712,1.5,2.0,14
50,100,99781.7014792427,-0.0021022779931412217,0.006657629072394447,-0.3157697688293,-0.00536503231924116,516,1.5,3.0,14
50,100,99947.83757844995,-0.0004854173614312618,0.00666464849600184,-0.07283465312873835,-0.00566640021664063,214,1.5,,14
50,100,99378.99610637149,-0.006021903504049075,0.006619594863389947,-0.909708770449618,-0.007272351169449523,562,2.0,2.0,14
50,100,99610.74928725715,-0.0037660439318137895,0.006656618843846618,-0.5657592871334555,-0.00635873097613012,430,2.0,3.0,14
50,100,99951.86804894284,-0.0004461588673763117,0.006669954805979677,-0.06689083814725792,-0.0053134813195824075,176,2.0,,14
50,150,99320.45032619272,-0.006591283491066302,0.0066890428487809345,-0.9853851500244988,-0.007395411027888151,710,1.5,2.0,14
50,150,99631.83969901418,-0.003560581683098807,0.006686671085635944,-0.5324894312130165,-0.0060483052924031055,536,1.5,3.0,14
50,150,99895.80345837849,-0.0009916471431973273,0.0066873831530601105,-0.1482862758870867,-0.006353053735680895,194,1.5,,14
50,150,99152.43239525717,-0.008226966166328897,0.006647074855486935,-1.2376821903153108,-0.008496444733428216,550,2.0,2.0,14
50,150,99670.41681135712,-0.0031849387458686707,0.006715760645703341,-0.474248400723804,-0.006278565105345717,432,2.0,3.0,14
50,150,99989.72874919996,-7.771142839096967e-05,0.00667038194550721,-0.01165022168532818,-0.005529048045644706,148,2.0,,14
50,200,99789.67699229982,-0.0020251687277605956,0.006580616888752006,-0.3077475504191922,-0.006253609626489975,704,1.5,2.0,14
50,200,100045.86407774276,0.00046805093024637756,0.00659249676761148,0.07099752138611311,-0.0061344145206488595,504,1.5,3.0,14
50,200,100370.21242019287,0.0036243436242668903,0.006603211768410768,0.5488758730418821,-0.006123721781396834,148,1.5,,14
50,200,99703.415731943,-0.0028649741323952815,0.006535270660517502,-0.4383864542449441,-0.005176323366797027,556,2.0,2.0,14
50,200,100013.6792370715,0.00015526531372000996,0.0066557454069484405,0.023328012750895886,-0.00592193008340124,406,2.0,3.0,14
50,200,100440.13236231431,0.004304629884118283,0.0065932121671762045,0.6528881181085828,-0.005291837808612186,110,2.0,,14
